"Step","misty-sun-56 - env/reward_mean","misty-sun-56 - env/reward_mean__MIN","misty-sun-56 - env/reward_mean__MAX","royal-glitter-53 - env/reward_mean","royal-glitter-53 - env/reward_mean__MIN","royal-glitter-53 - env/reward_mean__MAX"
"17","0.6916723251342773","0.6916723251342773","0.6916723251342773","0.4780534505844116","0.4780534505844116","0.4780534505844116"
"18","0.7906320691108704","0.7906320691108704","0.7906320691108704","0.6320708990097046","0.6320708990097046","0.6320708990097046"
"19","0.7591150403022766","0.7591150403022766","0.7591150403022766","0.5738763809204102","0.5738763809204102","0.5738763809204102"
"20","0.6942788362503052","0.6942788362503052","0.6942788362503052","0.6378055810928345","0.6378055810928345","0.6378055810928345"
"21","0.7383607625961304","0.7383607625961304","0.7383607625961304","0.6827783584594727","0.6827783584594727","0.6827783584594727"
"22","0.7798304557800293","0.7798304557800293","0.7798304557800293","0.6673058271408081","0.6673058271408081","0.6673058271408081"
"23","0.740138053894043","0.740138053894043","0.740138053894043","0.7059905529022217","0.7059905529022217","0.7059905529022217"
"24","0.7586402893066406","0.7586402893066406","0.7586402893066406","0.671440839767456","0.671440839767456","0.671440839767456"
"25","0.7524418830871582","0.7524418830871582","0.7524418830871582","0.7295002341270447","0.7295002341270447","0.7295002341270447"
"26","0.7543120384216309","0.7543120384216309","0.7543120384216309","0.7340626120567322","0.7340626120567322","0.7340626120567322"
"27","0.7759790420532227","0.7759790420532227","0.7759790420532227","0.750429630279541","0.750429630279541","0.750429630279541"
"28","0.7664932012557983","0.7664932012557983","0.7664932012557983","0.7284541726112366","0.7284541726112366","0.7284541726112366"
"29","0.7532967329025269","0.7532967329025269","0.7532967329025269","0.7367730140686035","0.7367730140686035","0.7367730140686035"
"30","0.7800984382629395","0.7800984382629395","0.7800984382629395","0.8262008428573608","0.8262008428573608","0.8262008428573608"
"31","0.8098548650741577","0.8098548650741577","0.8098548650741577","0.8068969249725342","0.8068969249725342","0.8068969249725342"
"32","0.827649712562561","0.827649712562561","0.827649712562561","0.7727609276771545","0.7727609276771545","0.7727609276771545"
"33","0.7798818349838257","0.7798818349838257","0.7798818349838257","0.7871688604354858","0.7871688604354858","0.7871688604354858"
"34","0.7599793672561646","0.7599793672561646","0.7599793672561646","-1","-1","-1"
"35","0.8142529726028442","0.8142529726028442","0.8142529726028442","-1","-1","-1"
"36","0.793814480304718","0.793814480304718","0.793814480304718","","",""
"37","0.776945948600769","0.776945948600769","0.776945948600769","","",""
"38","0.8218168020248413","0.8218168020248413","0.8218168020248413","","",""
"39","0.8245919346809387","0.8245919346809387","0.8245919346809387","","",""
"40","0.7561348676681519","0.7561348676681519","0.7561348676681519","","",""
"41","0.7734470367431641","0.7734470367431641","0.7734470367431641","","",""
"42","0.7998040914535522","0.7998040914535522","0.7998040914535522","","",""
"43","0.7506418228149414","0.7506418228149414","0.7506418228149414","","",""
"44","0.87252277135849","0.87252277135849","0.87252277135849","","",""
"45","0.8507418632507324","0.8507418632507324","0.8507418632507324","","",""
"46","0.7716596126556396","0.7716596126556396","0.7716596126556396","","",""
"47","0.7985108494758606","0.7985108494758606","0.7985108494758606","","",""
"48","0.8355416059494019","0.8355416059494019","0.8355416059494019","","",""
"49","0.8440043926239014","0.8440043926239014","0.8440043926239014","","",""
"50","0.7927435636520386","0.7927435636520386","0.7927435636520386","","",""
"51","0.7619809508323669","0.7619809508323669","0.7619809508323669","","",""
"52","0.8050055503845215","0.8050055503845215","0.8050055503845215","","",""
"53","0.8372886180877686","0.8372886180877686","0.8372886180877686","","",""
"54","0.7119340896606445","0.7119340896606445","0.7119340896606445","","",""
"55","0.8386924266815186","0.8386924266815186","0.8386924266815186","","",""
"56","0.7969353199005127","0.7969353199005127","0.7969353199005127","","",""
"57","0.8294485807418823","0.8294485807418823","0.8294485807418823","","",""
"58","0.7543744444847107","0.7543744444847107","0.7543744444847107","","",""
"59","0.8103314638137817","0.8103314638137817","0.8103314638137817","","",""
"60","0.7903423309326172","0.7903423309326172","0.7903423309326172","","",""
"61","0.8355724215507507","0.8355724215507507","0.8355724215507507","","",""
"62","0.807297945022583","0.807297945022583","0.807297945022583","","",""
"63","0.8509530425071716","0.8509530425071716","0.8509530425071716","","",""
"64","0.7683749794960022","0.7683749794960022","0.7683749794960022","","",""
"65","0.75743567943573","0.75743567943573","0.75743567943573","","",""
"66","0.816436767578125","0.816436767578125","0.816436767578125","","",""
"67","0.85174560546875","0.85174560546875","0.85174560546875","","",""
"68","0.7462529540061951","0.7462529540061951","0.7462529540061951","","",""
"69","0.8027701377868652","0.8027701377868652","0.8027701377868652","","",""
"70","0.8104854822158813","0.8104854822158813","0.8104854822158813","","",""
"71","0.8145825862884521","0.8145825862884521","0.8145825862884521","","",""
"72","0.7949782013893127","0.7949782013893127","0.7949782013893127","","",""
"73","0.6307997703552246","0.6307997703552246","0.6307997703552246","","",""
"74","0.771554708480835","0.771554708480835","0.771554708480835","","",""
"75","0.7775087356567383","0.7775087356567383","0.7775087356567383","","",""
"76","0.7834364175796509","0.7834364175796509","0.7834364175796509","","",""
"77","0.7909602522850037","0.7909602522850037","0.7909602522850037","","",""
"78","-1","-1","-1","","",""
"79","-1","-1","-1","","",""
"80","-1","-1","-1","","",""
"81","-1","-1","-1","","",""
"82","-1","-1","-1","","",""
"83","-1","-1","-1","","",""
"84","-1","-1","-1","","",""
"85","-1","-1","-1","","",""
"86","-1","-1","-1","","",""
"87","-1","-1","-1","","",""
"88","-1","-1","-1","","",""
"89","-1","-1","-1","","",""
"90","-1","-1","-1","","",""
