"Step","misty-sun-56 - env/reward_mean","misty-sun-56 - env/reward_mean__MIN","misty-sun-56 - env/reward_mean__MAX","royal-glitter-53 - env/reward_mean","royal-glitter-53 - env/reward_mean__MIN","royal-glitter-53 - env/reward_mean__MAX"
"0","0.6336638927459717","0.6336638927459717","0.6336638927459717","0.38024628162384033","0.38024628162384033","0.38024628162384033"
"1","0.5343190431594849","0.5343190431594849","0.5343190431594849","0.3888727128505707","0.3888727128505707","0.3888727128505707"
"2","0.5291538238525391","0.5291538238525391","0.5291538238525391","0.3412480354309082","0.3412480354309082","0.3412480354309082"
"3","0.6001666784286499","0.6001666784286499","0.6001666784286499","0.4578997492790222","0.4578997492790222","0.4578997492790222"
"4","0.5638009309768677","0.5638009309768677","0.5638009309768677","0.46332597732543945","0.46332597732543945","0.46332597732543945"
"5","0.5439294576644897","0.5439294576644897","0.5439294576644897","0.4496445059776306","0.4496445059776306","0.4496445059776306"
"6","0.5279653072357178","0.5279653072357178","0.5279653072357178","0.4520483613014221","0.4520483613014221","0.4520483613014221"
"7","0.5332105159759521","0.5332105159759521","0.5332105159759521","0.5256597995758057","0.5256597995758057","0.5256597995758057"
"8","0.5636398792266846","0.5636398792266846","0.5636398792266846","0.5537643432617188","0.5537643432617188","0.5537643432617188"
"9","0.5865957736968994","0.5865957736968994","0.5865957736968994","0.5807759761810303","0.5807759761810303","0.5807759761810303"
"10","0.6343727111816406","0.6343727111816406","0.6343727111816406","0.5686860680580139","0.5686860680580139","0.5686860680580139"
"11","0.6148437261581421","0.6148437261581421","0.6148437261581421","0.4475294351577759","0.4475294351577759","0.4475294351577759"
"12","0.7153162956237793","0.7153162956237793","0.7153162956237793","0.4726858139038086","0.4726858139038086","0.4726858139038086"
"13","0.74071204662323","0.74071204662323","0.74071204662323","0.4808211922645569","0.4808211922645569","0.4808211922645569"
"14","0.7017462253570557","0.7017462253570557","0.7017462253570557","0.4932563900947571","0.4932563900947571","0.4932563900947571"
"15","0.6867234706878662","0.6867234706878662","0.6867234706878662","0.5191134214401245","0.5191134214401245","0.5191134214401245"
"16","0.6780322194099426","0.6780322194099426","0.6780322194099426","0.48013895750045776","0.48013895750045776","0.48013895750045776"
